Mar;Tipo de gasto;R3
JSN Holdings, LLC  (Blaupunkt);Gasto proveedor;40003215
JSN Holdings, LLC  (Blaupunkt);Gasto proveedor;40003215
JSN Holdings, LLC  (Blaupunkt);Gasto proveedor;40003215
JSN Holdings, LLC  (Blaupunkt);Gasto proveedor;40003215
JUNAR S.A.;Gasto proveedor;
Karatay Uluslar Arasi;Gasto proveedor;
KAR-EL DEMIR TEL SAN. VE TIC. LTD. STI.;Gasto proveedor;
King Exports;Gasto proveedor;
Kingsdown;Gasto proveedor;
KOROZO AMBALAJ SANAYI VE;Gasto proveedor;
Koyo Latin America S.A.;Gasto proveedor;
KRAMP GMBH;Gasto proveedor;
KUNSHAN POWERMAN ELECTRONIC CO., LT;Gasto proveedor;
Leoch Battery Pte. Ltd.;Gasto proveedor;
Lubeworld;Gasto proveedor;
LUBRICANTES DE AMERICA SA DE CV;Gasto proveedor;
LUBRIMAX M SDN BHD;Gasto proveedor;
Lumileds Germany Gmbh;Gasto proveedor;
MAGYAR SUZUKI CORPORATION;Gasto proveedor;40000214
MAGYAR SUZUKI CORPORATION;Gasto proveedor;40000214
MAGYAR SUZUKI CORPORATION;Gasto proveedor;40000214
MAHANSARIA TYRES PRIVATE LIMITED;Gasto proveedor;
Mahle Metal Leve S.A;Gasto proveedor;
Maruti Suzuki India Ltd.;Gasto proveedor;40000234
Maruti Suzuki India Ltd.;Gasto proveedor;40000234
Maruti Suzuki India Ltd.;Gasto proveedor;40000234
Maxiforce Inc;Gasto proveedor;
Mazda Motor Corporation;Gasto proveedor;40000139
Mazda Motor Corporation;Gasto proveedor;40000139
Mazda Motor Corporation;Gasto proveedor;40000139
Mazda North American Operations;Gasto proveedor;40000280
Mazda North American Operations;Gasto proveedor;40000280
Mazda North American Operations;Gasto proveedor;40000280
Mecanica Implemaq Ltda;Gasto proveedor;40000366
Minos Dis Ticaret Limited Sirketi;Gasto proveedor;
Modula Srl;Gasto proveedor;
Motorix International Inc.;Gasto proveedor;
Ngk Spark Plug Co., Ltd.;Gasto proveedor;
Ningbo Chenfan Auto Accessories Co. Ltd.;Gasto proveedor;
Ningbo Heyu International Trading C;Gasto proveedor;
Ningbo Hongzhuo Import & Export Co.;Gasto proveedor;
Ningbo Laida Automotive Technology;Gasto proveedor;
Ningbo Luckibuy Import&Export Co.,L;Gasto proveedor;
Ningbo Sinppa Tools Co.,Ltd;Gasto proveedor;
Ningbo Yimi Electrical Applicance Co.Ltd;Gasto proveedor;
Ningbo Yinzhou Anhong Tools Factory;Gasto proveedor;
Ningbo Yinzhou Safety Auto Applianc;Gasto proveedor;
Ningbo Yujiang Special Rubber;Gasto proveedor;
Nsk Latin America,Inc.;Gasto proveedor;
Octo Telematics Spa;Gasto proveedor;
Ona Inspire Llc;Gasto proveedor;
Orafol Americas Inc;Gasto proveedor;
Pacer Technology Dba Super Glue Cor;Gasto proveedor;
Parts China Trading Co., Ltd;Gasto proveedor;
Parts China Trading Co., Ltd;Gasto proveedor;
Peco Products Engineering Ltd.;Gasto proveedor;
Pioneer International;Gasto proveedor;
Prestone Products Corporation;Gasto proveedor;
Prinx Chengshan (Shandong) Tire Com;Gasto proveedor;
PRINX CHENGSHAN TIRE (THAILAND) CO., LTD.;Gasto proveedor;
Promaster Electronic Co., Ltd;Gasto proveedor;40002814
Pt Hankook Tire Indonesia;Gasto proveedor;
Pt. Suzuki Indomobil Motor;Gasto proveedor;40003526
Pt. Suzuki Indomobil Motor;Gasto proveedor;40003526
Pt. Suzuki Indomobil Motor;Gasto proveedor;40003526
Qingdao Nexen Co., Ltd.;Gasto proveedor;
QINGDAO UNI-POWERTYRECO.,LTD;Gasto proveedor;
Qufu Temb Auto Parts;Gasto proveedor;
Ran Sinai Mamuller Otomotiv;Gasto proveedor;
Renault;Gasto proveedor;40000236
Renault;Gasto proveedor;40000236
Renault;Gasto proveedor;40000236
Renault Argentina S.A.;Gasto proveedor;40000237
Renault Argentina S.A.;Gasto proveedor;40000237
Renault Do Brasil Sa;Gasto proveedor;40000238
Renault Do Brasil Sa;Gasto proveedor;40000238
Renault Samsung Motors Co.,Ltd.;Gasto proveedor;40003055
Renault Samsung Motors Co.,Ltd.;Gasto proveedor;40003055
Renault Samsung Motors Co.,Ltd.;Gasto proveedor;40003055
Reyenvas, S.A.;Gasto proveedor;
Ruian New Trend Imp. & Exp. Trade C;Gasto proveedor;
Ruian Tianlong Trading Co., Ltd.;Gasto proveedor;
SABO INDUSTRIA E COMERCIO;Gasto proveedor;
Safe Engineering;Gasto proveedor;
Schaeffler Aut Aftermarket Mexico;Gasto proveedor;
Schaeffler Brasil Ltda.;Gasto proveedor;
SHANDONG HAOHUA TIRE CO.,LTD;Gasto proveedor;
SHANGAI SHEN HONG JIN HUI;Gasto proveedor;
SHANGHAI FUAO AUTO PARTS & ACC LTD.;Gasto proveedor;
Shenzhen A.T.R. Industry Co.,Ltd;Gasto proveedor;
Shenzhen Cheng Hui Da Electronics C;Gasto proveedor;
Shenzhen Great Dragon Technology Co;Gasto proveedor;
Shenzhen Mesky Technology Co.,Ltd;Gasto proveedor;
Shenzhen Top Lead Industrial Co., L;Gasto proveedor;
Sincanli Dis Ticaret Ltd Sirketi;Gasto proveedor;
Sociedad De Fabricacion De Automoto;Gasto proveedor;40000186
Sociedad De Fabricacion De Automoto;Gasto proveedor;40000186
SOGEFI FILTRATION DO BRASIL LTDA.;Gasto proveedor;
Sohipren S.A.;Gasto proveedor;
SOTRAFA, S.A.;Gasto proveedor;
Sparex Limited;Gasto proveedor;
SPEEDWAYS RUBBER COMPANY;Gasto proveedor;
SPK Corporation;Gasto proveedor;
Steelmate Co.,Ltd.;Gasto proveedor;
SurValley S.A.;Gasto proveedor;
SurValley S.A.;Gasto proveedor;
SurValley S.A.;Gasto proveedor;
Suzuki Motor (Thailand) Co.,Ltd.;Gasto proveedor;40002141
Suzuki Motor (Thailand) Co.,Ltd.;Gasto proveedor;40002141
Suzuki Motor (Thailand) Co.,Ltd.;Gasto proveedor;40002141
Suzuki Motor Corporation;Gasto proveedor;40003191
Suzuki Motor Corporation;Gasto proveedor;40003191
Suzuki Motor Corporation;Gasto proveedor;40003191
Taizhou Three-Way;Gasto proveedor;
Tej Wheels S.L.;Gasto proveedor;
Tianjin Kai Er Li International;Gasto proveedor;
TPR CO., LTD.;Gasto proveedor;
Tractoricambi S.R.L.;Gasto proveedor;
